Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
0,0,0,0,0,0,3.17,3.04,79.27,0.83486607,0
0,0,0,0,0,0,3.23,3.07,79.27,0.832673587,0
0,0,0,0,0,0,3.14,3.17,79.27,0.832673587,0
0,0,0,0,0,0,3.09,3.22,79.27,0.832673587,0
0,0,0,0,0,0,3.07,3.24,79.27,0.832673587,0
0,0,0,0,0,0,3.07,3.26,79.27,0.832673587,0
0,0,0,0,0,0,3.07,3.26,79.27,0.832673587,0
0,0,0,0,0,0,3.07,3.26,79.27,0.830418614,0
0,0,0,0,0,0,3.08,3.26,79.27,0.830418614,0
0,0,0,0,0,0,3.07,3.25,79.27,0.830418614,0
0,0,0,0,0,0,3.07,3.25,79.27,0.830418614,0
0,0,0,0,0,0,3.08,3.25,79.27,0.830418614,0
